example_id                                                                             | status | run_time        |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:2:1]                         | passed | 0.00889 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:3:1]                         | passed | 0.19734 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:4:1]                         | failed | 0.18646 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:5:1]                         | passed | 0.17695 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:5:2]                         | passed | 0.18219 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:5:3]                         | passed | 0.18473 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:6:1]                         | passed | 0.1847 seconds  |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:6:2]                         | passed | 0.18591 seconds |
./spec/graphql/mutations/update_voice_handoff_spec.rb[1:1:6:3]                         | passed | 0.18397 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:1]                                | failed | 0.3529 seconds  |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:2]                                | failed | 0.35821 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:3]                                | failed | 0.35862 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:4]                                | failed | 0.35965 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:5]                                | failed | 0.35361 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:6]                                | passed | 0.35048 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:7]                                | failed | 0.35658 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:8]                                | passed | 0.35043 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:9]                                | failed | 0.35216 seconds |
./spec/graphql/queries/customer_detail_spec.rb[1:1:1:10]                               | failed | 0.35962 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:1:1]                                  | passed | 0.52675 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:1:2]                                  | passed | 0.52644 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:1:3]                                  | passed | 0.52623 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:2:1]                                  | passed | 0.52852 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:3:1]                                  | passed | 0.53145 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:3:2]                                  | passed | 0.54169 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:4:1]                                  | passed | 0.52786 seconds |
./spec/graphql/queries/customer_search_spec.rb[1:4:2]                                  | passed | 0.53151 seconds |
